OrderID,CustomerID,EmployeeID,RequiredDate,ShippedDate,ShipVia,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry,OrderDate,ProductID,UnitPrice,Quantity,Discount,_Sales
11070,LEHMS,2,17-10-2024,,1,136,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,,60528,Germany,19-09-2024,31,12.5,20,0,250
11067,DRACD,1,02-10-2024,20-09-2024,2,7.98,Drachenblut Delikatessen,Walserweg 21,Aachen,,52066,Germany,18-09-2024,41,9.65,9,0,86.85
11058,BLAUS,9,11-10-2024,,3,31.14,Blauer See Delikatessen,Forsterstr. 57,Mannheim,,68306,Germany,13-09-2024,61,28.5,4,0,114
11058,BLAUS,9,11-10-2024,,3,31.14,Blauer See Delikatessen,Forsterstr. 57,Mannheim,,68306,Germany,13-09-2024,60,34,21,0,714
11058,BLAUS,9,11-10-2024,,3,31.14,Blauer See Delikatessen,Forsterstr. 57,Mannheim,,68306,Germany,13-09-2024,21,10,3,0,30
11036,DRACD,8,02-10-2024,06-09-2024,3,149.47,Drachenblut Delikatessen,Walserweg 21,Aachen,,52066,Germany,04-09-2024,13,6,7,0,42
11036,DRACD,8,02-10-2024,06-09-2024,3,149.47,Drachenblut Delikatessen,Walserweg 21,Aachen,,52066,Germany,04-09-2024,59,55,30,0,1650
11028,KOENE,2,28-09-2024,06-09-2024,1,29.59,Königlich Essen,Maubelstr. 90,Brandenburg,,14776,Germany,31-08-2024,59,55,24,0,1320
11028,KOENE,2,28-09-2024,06-09-2024,1,29.59,Königlich Essen,Maubelstr. 90,Brandenburg,,14776,Germany,31-08-2024,55,24,35,0,840
11021,QUICK,3,26-09-2024,05-09-2024,1,297.18,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany,29-08-2024,20,81,15,0,1215
11021,QUICK,3,26-09-2024,05-09-2024,1,297.18,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany,29-08-2024,26,31.23,63,0,1967.49
11021,QUICK,3,26-09-2024,05-09-2024,1,297.18,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany,29-08-2024,72,34.8,35,0,1218
11011,ALFKI,3,21-09-2024,28-08-2024,1,1.21,Alfred's Futterkiste,Obere Str. 57,Berlin,,12209,Germany,24-08-2024,71,21.5,20,0,430
10996,QUICK,4,14-09-2024,25-08-2024,2,1.12,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany,17-08-2024,42,14,40,0,560
10967,TOMSP,2,04-09-2024,17-08-2024,2,62.22,Toms Spezialitäten,Luisenstr. 48,Münster,,44087,Germany,07-08-2024,19,9.2,12,0,110.4
10967,TOMSP,2,04-09-2024,17-08-2024,2,62.22,Toms Spezialitäten,Luisenstr. 48,Münster,,44087,Germany,07-08-2024,49,20,40,0,800
10962,QUICK,8,31-08-2024,07-08-2024,2,275.79,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany,03-08-2024,76,18,44,0,792
10962,QUICK,8,31-08-2024,07-08-2024,2,275.79,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany,03-08-2024,69,36,9,0,324
10962,QUICK,8,31-08-2024,07-08-2024,2,275.79,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany,03-08-2024,53,32.8,20,0,656
10962,QUICK,8,31-08-2024,07-08-2024,2,275.79,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany,03-08-2024,13,6,77,0,462
10962,QUICK,8,31-08-2024,07-08-2024,2,275.79,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany,03-08-2024,7,30,45,0,1350
10956,BLAUS,6,12-09-2024,04-08-2024,2,44.65,Blauer See Delikatessen,Forsterstr. 57,Mannheim,,68306,Germany,01-08-2024,51,53,8,0,424
10956,BLAUS,6,12-09-2024,04-08-2024,2,44.65,Blauer See Delikatessen,Forsterstr. 57,Mannheim,,68306,Germany,01-08-2024,47,9.5,14,0,133
10956,BLAUS,6,12-09-2024,04-08-2024,2,44.65,Blauer See Delikatessen,Forsterstr. 57,Mannheim,,68306,Germany,01-08-2024,21,10,12,0,120
10952,ALFKI,1,11-09-2024,08-08-2024,1,40.42,Alfred's Futterkiste,Obere Str. 57,Berlin,,12209,Germany,31-07-2024,28,45.6,2,0,91.2
10945,MORGK,4,24-08-2024,02-08-2024,1,10.22,Morgenstern Gesundkost,Heerstr. 22,Leipzig,,04179,Germany,27-07-2024,31,12.5,10,0,125
10945,MORGK,4,24-08-2024,02-08-2024,1,10.22,Morgenstern Gesundkost,Heerstr. 22,Leipzig,,04179,Germany,27-07-2024,13,6,20,0,120
10934,LEHMS,3,21-08-2024,27-07-2024,3,32.01,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,,60528,Germany,24-07-2024,6,25,20,0,500
10929,FRANK,6,17-08-2024,27-07-2024,1,33.93,Frankenversand,Berliner Platz 43,München,,80805,Germany,20-07-2024,21,10,60,0,600
10929,FRANK,6,17-08-2024,27-07-2024,1,33.93,Frankenversand,Berliner Platz 43,München,,80805,Germany,20-07-2024,75,7.75,49,0,379.75
